title,link,published,published_parsed,article_content
Blumen für die frisch Gewählte: Mario Fehr gratuliert Tiana Moser (GLP),https://www.blick.ch/news/blumen-fuer-die-frisch-gewaehlte-mario-fehr-sp-gratuliert-tiana-moser-glp-id19160055.html,"Sun, 19 Nov 2023 19:08:08 GMT","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=19, tm_hour=19, tm_min=8, tm_sec=8, tm_wday=6, tm_yday=323, tm_isdst=0)",
Marianne Binder-Keller: «Ich konnte über die Parteigrenzen hinweg mobilisieren»,https://www.blick.ch/news/marianne-binder-keller-ich-konnte-ueber-die-parteigrenzen-hinweg-mobilisieren-id19159904.html,"Sun, 19 Nov 2023 14:33:11 GMT","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=19, tm_hour=14, tm_min=33, tm_sec=11, tm_wday=6, tm_yday=323, tm_isdst=0)",
Daniel Jositsch (58): «Mosers Sieg war vor allem eine Frage der Mobilisierung»,https://www.blick.ch/news/daniel-jositsch-58-ihr-sieg-war-vor-allem-eine-frage-der-mobilisierung-id19159835.html,"Sun, 19 Nov 2023 14:16:19 GMT","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=19, tm_hour=14, tm_min=16, tm_sec=19, tm_wday=6, tm_yday=323, tm_isdst=0)",
"Tiana Moser zu ihrem Sieg: «Es ist wichtig, dass wir die Beziehungen zur EU regeln»",https://www.blick.ch/news/tiana-moser-zu-ihrem-sieg-ich-bin-eine-wirtschaftsliberale-kandidatin-id19159762.html,"Sun, 19 Nov 2023 13:50:31 GMT","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=19, tm_hour=13, tm_min=50, tm_sec=31, tm_wday=6, tm_yday=323, tm_isdst=0)",
Gregor Rutz (51): «Die Bürgerlichen müssen geschlossener auftreten»,https://www.blick.ch/news/gregor-rutz-51-die-buergerlichen-muessen-geschlossener-auftreten-id19159611.html,"Sun, 19 Nov 2023 13:13:11 GMT","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=19, tm_hour=13, tm_min=13, tm_sec=11, tm_wday=6, tm_yday=323, tm_isdst=0)",
Jürg Grossen (54): «Es ist ein schöner Tag für die GLP»,https://www.blick.ch/news/juerg-grossen-54-es-ist-ein-schoener-tag-fuer-die-glp-id19159530.html,"Sun, 19 Nov 2023 13:13:00 GMT","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=19, tm_hour=13, tm_min=13, tm_sec=0, tm_wday=6, tm_yday=323, tm_isdst=0)",
Corina Gredig (36): «Das grosse Vertrauen in der Bevölkerung freut uns enorm»,https://www.blick.ch/news/corina-gredig-36-das-grosse-vertrauen-in-der-bevoelkerung-freut-uns-enorm-id19159498.html,"Sun, 19 Nov 2023 12:33:12 GMT","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=19, tm_hour=12, tm_min=33, tm_sec=12, tm_wday=6, tm_yday=323, tm_isdst=0)",
Domenik Ledergerber (35): «Die bürgerliche Mobilisierung funktionierte nicht»,https://www.blick.ch/news/domenik-ledergerber-35-die-buergerliche-mobilisierung-funktionierte-nicht-id19159446.html,"Sun, 19 Nov 2023 12:10:29 GMT","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=19, tm_hour=12, tm_min=10, tm_sec=29, tm_wday=6, tm_yday=323, tm_isdst=0)",
Hochpreisinsel Schweiz: Kritik an Margen der Detailhändler,https://www.blick.ch/news/hochpreisinsel-schweiz-kritik-an-margen-der-detailhaendler-id19159127.html,"Sun, 19 Nov 2023 09:53:20 GMT","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=19, tm_hour=9, tm_min=53, tm_sec=20, tm_wday=6, tm_yday=323, tm_isdst=0)","Einkäufe im Ausland ab 50 statt 300 Franken verzollen – so lautet der neuste Vorschlag von Migros und Coop in der «Aargauer Zeitung». Der Einkaufstourismus verursache «Umsatzausfälle in Milliardenhöhe». Die Detailhändler bearbeiten schon seit Jahren Politikerinnen, damit diese etwas gegen die Einkäufe im Ausland unternehmen. Verbraucherschützer halten wenig von dem Vorhaben. Sie sagen: Die Detailhändler sollten ihre Kunden lieber mit fairen Preisen locken. Zum Teil seien die Margen «künstlich aufgebläht», heisst es etwa bei der französischen Konsumentenschutzorganisation FRC. Letztes Jahr legten Gemüsebäuerinnen, die Coop und Migros beliefern, der Organisation ihre Produktionskosten und Verkaufspreise offen. Die FRC verglich diese mit den Ladenpreisen. Und kam zum Schluss: Die Detailhändler schlagen eine zu hohe Marge auf. Verlierer dieser Preispolitik seien nicht nur die Kunden, sondern auch die Landwirte. Die FRC will sich künftig noch intensiver für faire Margen bei Lebensmitteln einsetzen. Auch der Preisüberwacher Stefan Meierhans (55) sieht die Margen der Detailhändler kritisch. Bereits im Januar gab er bekannt, dass er Meldungen zu «vermuteten missbräuchlichen Preisen» bei Biolebensmitteln nachgehe. Die Margen der Schweizer Detailhändler seien generell hoch. Eine Voruntersuchung habe gezeigt, dass es gerade im Biobereich Potenzial für Preissenkungen gebe. Mit vier von fünf Bioprodukten würden Migros und Coop eine höhere Marge erzielen als mit vergleichbaren konventionellen Produkten. Ob die Detailhändler mit Absicht eine besonders hohe Marge abschöpfen, ist aber noch nicht geklärt. Der Preisüberwacher hat seine Untersuchungen noch nicht abgeschlossen. Die Migros sagt zur Kritik: «Der Preisüberwacher konnte bis heute keine Fakten präsentieren, wonach die Migros überhöhte Margen erziele.» Coop sagt, man setze sich für faire Preise ein und biete unter anderem 1500 preislich günstige Prix-Garantie-Produkte. «Der hart umkämpfte Detailhandelsmarkt in der Schweiz sowie der Einkaufstourismus lassen überhöhte Preise gar nicht zu.»"
Susi P. (75) veruntreute knapp eine Million Franken aus Vereinskasse – Freunde sind fassungslos: «So etwas passt einfach nicht zu ihr!»,https://www.blick.ch/schweiz/bern/susi-p-75-veruntreute-knapp-eine-million-franken-aus-vereinskasse-freunde-sind-fassungslos-so-etwas-passt-einfach-nicht-zu-ihr-id19160345.html,"Sun, 19 Nov 2023 17:07:44 GMT","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=19, tm_hour=17, tm_min=7, tm_sec=44, tm_wday=6, tm_yday=323, tm_isdst=0)","Einen Erklärungsbrief, ihren Schlüssel sowie ihr Handy – das alles lässt Susi P.* (75) Anfang August in ihrem Haus zurück und verschwindet. Und mit ihr das Geld – knapp eine Million Franken – das sie aus der Vereinskasse des Langlaufzentrums Gantrisch BE mitgehen liess. Blick hat sich an ihrem Wohnort in Schwarzenburg BE umgehört. Alle rätseln: Wo steckt Susi P. (75), und wo ist die Million hin? Vor allem: Warum hat sie das Geld mitgehen lassen? Sowohl Vereinspräsident Christoph Wüthrich (58) als auch Dorfbewohner stellen klar: «Susi P. hat es aus finanzieller Sicht nicht nötig gehabt.» So soll sie eine stattliche Rente erhalten und im Besitz von Liegenschaften sein. Auch ihr Betreibungsauszug, der Blick vorliegt, ist makellos. Als Blick ein befreundetes Ehepaar anspricht, fliessen Tränen. Das Paar gibt an, die Aktion von Susi P. nicht einordnen zu können. «Wir kennen sie seit 20 Jahren. So etwas passt einfach nicht zu ihr!» Susi P. sei stets ein positiver und hilfsbereiter Mensch gewesen – und deshalb auch sehr willkommen in der Gesellschaft. Der Vorfall werfe viele Fragen auf. Ähnlich ergeht es einem Dorfbewohner, der bis vor kurzem einem anderen Verein vorsass: «Wir haben vor rund einem Monat gehört, dass da etwas war, und wollten Genaueres wissen.» Vieles bleibe unklar, doch es werde gemunkelt, dass Susi P. das Geld des Vereins irgendwie vermehren wollte – was dann leider total schiefgelaufen sei. Laut dem befreundeten Ehepaar hat Susi P. von zu Hause aus für das Langlaufzentrum Gantrisch gearbeitet. Dort war sie als Kassiererin und Geschäftsführerin tätig. Sie soll aber auch ihren Mitmenschen in Sachen Buchhaltung geholfen haben, wie eine Dorfbewohnerin berichtet. «Meine Schwägerin war früher ihre Nachbarin und weil sie selbst darin Schwierigkeiten hatte, half Susi P. ihr.» Auch die Dorfbewohnerin beschreibt Susi P. als zuvorkommende und offene Persönlichkeit, die immer ein Herz für ihre Mitmenschen gehabt habe. Gleichzeitig heisst es unter den Bewohnern, dass Susi P. nicht wirklich aktiv am Dorfleben teilgenommen habe. Anzutreffen sei sie meistens im Coop gewesen. Trotzdem weiss jeder, wo sie wohnt. Ob sie noch einmal dahin zurückkehrt? Das bezweifelt Vereinspräsident Wüthrich. Doch wo steckt Susi P.? Wüthrich meint hierzu: «Die Polizei weiss wohl, wo sie ist. Und wer sie sucht, findet sie bestimmt.» Im Dorf hingegen wird gemunkelt, dass Susi P. eine Villa im Raum Zürich besitzt. Ob sie sich da aufhält? *Name geändert"
