file,keywords_combined
23_11_18_23_blick.csv,"['schweiz', 'gefahr', 'unfall', 'feuer', 'ukrainischen', 'russische', 'schockierende', 'verschreckte', 'jordan', 'jugendliche']"
23_11_18_23_srf.csv,"['politik', 'wofür', 'thailand', 'energieversorger', 'wiederwahl', 'bern', 'sprintrennen', 'niederlande', 'vermieter', 'schweiz']"
23_11_19_23_blick.csv,"['blumen', 'mobilisierung', 'crash', 'golfbälle', 'wolfsjagd', 'tiefe', 'argentinier', 'israelische', 'ständeratswahlen', 'bundesratskandidaten']"
23_11_19_23_srf.csv,"['wahlsiegerin', 'kandidat', 'linke', 'linkem', 'schweizer', 'schaffhausen', 'antisemitismus', 'djokovic', 'vulkangefahr', 'hersberg']"
23_11_20_23_blick.csv,"['tunnelwand', 'flugzeugunglück', 'neuenkirch', 'kantonspolizei', 'mafia', 'napoleon', 'impffaule', 'grippe', 'bundesratskandidat', 'präsidentschaftswahl']"
23_11_20_23_srf.csv,"['reichsten', 'wahrheit', 'einwanderung', 'neue', 'weibliche', 'namenswechsel', 'sitzfleisch', 'schweiz', 'entsorgen', 'mafia']"
23_11_21_23_blick.csv,"['schweizer', 'schnee', 'verkehrsunfall', 'minivan', 'nordkorea', 'erschossen', 'milliardenstrafe', 'black', 'bern', 'ausländer']"
23_11_21_23_srf.csv,"['recycling', 'rapperswil', 'bundeshaus', 'orban', 'positioniert', 'demoverbot', 'schweizer', 'schweiz', 'finanzministerium', 'bundeshaushalt']"
23_11_22_23_blick.csv,"['tragische', 'tragischer', 'schweizern', 'ukraine', 'israel', 'katzeninsel', 'weihnachtsbaum', 'nvidia', 'nazis', 'iran']"
23_11_22_23_srf.csv,"['rechtspopulisten', 'kinderspital', 'elefantenkuh', 'waffenruhe', 'panzerexport', 'vergewaltigungsfall', 'retourenproblem', '2024', 'nordkorea', 'fussballweltmeisterin']"
23_11_23_23_blick.csv,"['flughafenpolizei', 'polizei', 'schweiz', 'sexualdelikten', 'russland', 'ungarn', 'modellautos', 'islamisten', 'schweizer', 'schweiz']"
23_11_23_23_srf.csv,"['schweizerinnen', 'schweizer', 'schweiz', 'rabbiner', 'ukraine', 'schweizerinnen', 'schulsystem', 'swisspass', 'prostitution', 'teenies']"
23_11_24_23_blick.csv,"['sterben', 'spanier', 'ostschweizer', 'reparaturarbeiten', 'feuerteufel', 'niederländische', 'familienvermögen', 'benko', 'bundesratssitz', 'schweiz']"
23_11_24_23_srf.csv,"['atommacht', 'schweizer', 'medizinstudium', 'studierenden', 'charakterschwäche', 'schwierig', 'katholische', 'kirchliches', 'fusionspläne', 'polizeisoftware']"
